Catchment,c_s,alpha,gamma,beta,c_m,temp_w,ndvi_w,iota,theta,R2
ACHSTETTEN,885.9375,6.9609375,0.383148193359375,0.721875,1.1920166015625,0.8173828125,0.3424072265625,3.955078125,6.513519287109375,0.7192355705715412
ALSDORF-OBERECKEN,275.625,2.384033203125,0.63446044921875,1.30517578125,1.318359375,0.9063720703125,0.546875,6.3446044921875,3.0816650390625,0.7934607125869095
